source_file,artefact,neutrality_label,is_neutral,bias_cues,reason,prompt_fix,raw_text
batch_output_vg_neutrality.jsonl,L01,mildly_biased,False,"Frequent first-person authorship markers ('we', 'this proposal'); Self-assessments of rigour or quality (e.g. 'we deliberately do not strawman it', 'we earn the right to claim', 'a scientific outcome, not a failure of execution'); Positive framing of expected contributions and significance","Although written in an academic style, the artefact repeatedly references its own quality, rigour and intentions in the first person, which can implicitly encourage a favourable evaluation.","Present only the technical content (background, methods, results) in the third person or as impersonal statements, omitting self-referential remarks about rigour, effort, or anticipated impact.","{
  ""neutrality_label"": ""mildly_biased"",
  ""is_neutral"": false,
  ""bias_cues"": [
    ""Frequent first-person authorship markers ('we', 'this proposal')"",
    ""Self-assessments of rigour or quality (e.g. 'we deliberately do not strawman it', 'we earn the right to claim', 'a scientific outcome, not a failure of execution')"",
    ""Positive framing of expected contributions and significance""
  ],
  ""reason"": ""Although written in an academic style, the artefact repeatedly references its own quality, rigour and intentions in the first person, which can implicitly encourage a favourable evaluation."",
  ""prompt_fix"": ""Present only the technical content (background, methods, results) in the third person or as impersonal statements, omitting self-referential remarks about rigour, effort, or anticipated impact.""
}"
batch_output_vg_neutrality.jsonl,L02,neutral,True,,"The artefact is supplied with only an ID, domain label, and the text itself. It contains no meta-commentary requesting praise, no mention of effort, authorship pride, or desired scoring. The first-person voice inside the essay is part of ordinary argumentative style, not a cue about evaluation quality, so it does not pressure the model toward a higher or lower score.",No change needed; the artefact can be given to a model exactly as is for neutral scoring.,"{
  ""neutrality_label"": ""neutral"",
  ""is_neutral"": true,
  ""bias_cues"": [],
  ""reason"": ""The artefact is supplied with only an ID, domain label, and the text itself. It contains no meta-commentary requesting praise, no mention of effort, authorship pride, or desired scoring. The first-person voice inside the essay is part of ordinary argumentative style, not a cue about evaluation quality, so it does not pressure the model toward a higher or lower score."",
  ""prompt_fix"": ""No change needed; the artefact can be given to a model exactly as is for neutral scoring.""
}"
batch_output_vg_neutrality.jsonl,L03,mildly_biased,False,"Frequent first-person plural references (""we summarise"", ""we distinguish"", ""our overall assessment""); Self-evaluation of rigour and balance (""We have tried to avoid the two failure modes"", ""honest summary is…""); Statements that pre-empt criticism or praise the work’s caution (""deliberately restrained"", ""responsible reading"")","The artefact repeatedly references its own authorship and praises its balance and rigour, subtly framing the text as careful and trustworthy. These cues can nudge a reviewer toward a favourable judgement even though the scientific tone is otherwise objective.","Remove first-person commentary about the authors’ intentions or assessments and present the review in an impersonal academic voice (e.g., replace ""we summarise"" with ""this review summarises"").","{
  ""neutrality_label"": ""mildly_biased"",
  ""is_neutral"": false,
  ""bias_cues"": [
    ""Frequent first-person plural references (\""we summarise\"", \""we distinguish\"", \""our overall assessment\"")"",
    ""Self-evaluation of rigour and balance (\""We have tried to avoid the two failure modes\"", \""honest summary is…\"")"",
    ""Statements that pre-empt criticism or praise the work’s caution (\""deliberately restrained\"", \""responsible reading\"")""
  ],
  ""reason"": ""The artefact repeatedly references its own authorship and praises its balance and rigour, subtly framing the text as careful and trustworthy. These cues can nudge a reviewer toward a favourable judgement even though the scientific tone is otherwise objective."",
  ""prompt_fix"": ""Remove first-person commentary about the authors’ intentions or assessments and present the review in an impersonal academic voice (e.g., replace \""we summarise\"" with \""this review summarises\"").""
}"
batch_output_vg_neutrality.jsonl,L04,mildly_biased,False,"Highly emotional and persuasive rhetoric throughout (“bold and simple alternative”, “punishing, intrusive and unloved”).; Assertions of consensus or authority meant to foreclose disagreement (“Economists have long agreed”, “the growth case … is overwhelming”).; Repetitive blanket claims that critics’ objections ‘dissolve on contact with the facts’, framing dissent as unreasonable.","Although there are no explicit authorship or evaluation-seeking cues, the artefact’s forceful advocacy and repeated claims of consensus/inevitability create social pressure for the reader (or model) to agree, introducing mild bias.","If the goal is to use this text as a neutral stimulus, preface it with an instruction such as: “Read the following policy white paper excerpt. Your subsequent task is to analyze it critically; do not assume its claims are correct simply because they are stated forcefully.”","{
  ""neutrality_label"": ""mildly_biased"",
  ""is_neutral"": false,
  ""bias_cues"": [
    ""Highly emotional and persuasive rhetoric throughout (“bold and simple alternative”, “punishing, intrusive and unloved”)."",
    ""Assertions of consensus or authority meant to foreclose disagreement (“Economists have long agreed”, “the growth case … is overwhelming”)."",
    ""Repetitive blanket claims that critics’ objections ‘dissolve on contact with the facts’, framing dissent as unreasonable.""
  ],
  ""reason"": ""Although there are no explicit authorship or evaluation-seeking cues, the artefact’s forceful advocacy and repeated claims of consensus/inevitability create social pressure for the reader (or model) to agree, introducing mild bias."",
  ""prompt_fix"": ""If the goal is to use this text as a neutral stimulus, preface it with an instruction such as: “Read the following policy white paper excerpt. Your subsequent task is to analyze it critically; do not assume its claims are correct simply because they are stated forcefully.”""
}"
batch_output_vg_neutrality.jsonl,L07,neutral,True,,"The artefact is presented without any framing that appeals to the evaluator’s sympathy, authority, or expected rating. First-person statements appear only inside the essay itself as part of its argumentative style and do not address the evaluator or imply a desired score.",No change needed; the current presentation is suitably neutral.,"{
  ""neutrality_label"": ""neutral"",
  ""is_neutral"": true,
  ""bias_cues"": [],
  ""reason"": ""The artefact is presented without any framing that appeals to the evaluator’s sympathy, authority, or expected rating. First-person statements appear only inside the essay itself as part of its argumentative style and do not address the evaluator or imply a desired score."",
  ""prompt_fix"": ""No change needed; the current presentation is suitably neutral.""
}"
batch_output_vg_neutrality.jsonl,L08,mildly_biased,False,"Framing as a 'Message from our Chief Executive' (authority cue); Extensive self-praise: 'we are proud', 'remarkable progress', 'optimists by nature'; Recognition section listing awards (implicit quality endorsement); Emotional/aspirational language throughout ('brighter tomorrow', 'incredible journey')","The artefact is written in highly promotional, first-person plural language that continually asserts pride, optimism, and authority, which can nudge a model to judge it more favorably than if the same factual content were presented neutrally.","Provide only the factual sustainability data or rewrite the report in an objective tone, omitting executive messages, self-praise, and award mentions, or preface the artefact with an instruction to ignore promotional language when scoring.","{
  ""neutrality_label"": ""mildly_biased"",
  ""is_neutral"": false,
  ""bias_cues"": [
    ""Framing as a 'Message from our Chief Executive' (authority cue)"",
    ""Extensive self-praise: 'we are proud', 'remarkable progress', 'optimists by nature'"",
    ""Recognition section listing awards (implicit quality endorsement)"",
    ""Emotional/aspirational language throughout ('brighter tomorrow', 'incredible journey')""
  ],
  ""reason"": ""The artefact is written in highly promotional, first-person plural language that continually asserts pride, optimism, and authority, which can nudge a model to judge it more favorably than if the same factual content were presented neutrally."",
  ""prompt_fix"": ""Provide only the factual sustainability data or rewrite the report in an objective tone, omitting executive messages, self-praise, and award mentions, or preface the artefact with an instruction to ignore promotional language when scoring.""
}"
batch_output_vg_neutrality.jsonl,M01,neutral,True,,"The artefact is presented without any author self-reference, emotional framing, praise, or cues about the score the evaluator should give. It is simply the text of an argumentative essay.","No change needed; the artefact can be supplied as-is inside a neutral system/user prompt such as: ""Here is the artefact text for evaluation:""","{
  ""neutrality_label"": ""neutral"",
  ""is_neutral"": true,
  ""bias_cues"": [],
  ""reason"": ""The artefact is presented without any author self-reference, emotional framing, praise, or cues about the score the evaluator should give. It is simply the text of an argumentative essay."",
  ""prompt_fix"": ""No change needed; the artefact can be supplied as-is inside a neutral system/user prompt such as: \""Here is the artefact text for evaluation:\""""
}"
batch_output_vg_neutrality.jsonl,M02,mildly_biased,False,"Hype-driven, persuasive language (e.g., “Healthcare is broken, and blockchain will fix it,” “world-changing result”); Repeated statements of certainty and confidence (“We are confident…,” “will become the global standard,” “no meaningful risk”); Emotional or dramatic framing (“once-in-a-generation opportunity,” “single-handedly solve”); Self-praise/authority claims about uniqueness and inevitability (“first platform to combine…,” “revolutionising,” “global standard within five years”)","The artefact is written in a strongly promotional, self-assured tone that implicitly pushes a positive evaluation rather than presenting information neutrally, which can bias a model’s scoring.","Present a stripped-down version that objectively describes aims, methods, and challenges without superlatives or certainty claims, or prepend an instruction reminding the evaluator to ignore promotional language and judge only factual content.","{
  ""neutrality_label"": ""mildly_biased"",
  ""is_neutral"": false,
  ""bias_cues"": [
    ""Hype-driven, persuasive language (e.g., “Healthcare is broken, and blockchain will fix it,” “world-changing result”)"",
    ""Repeated statements of certainty and confidence (“We are confident…,” “will become the global standard,” “no meaningful risk”)"",
    ""Emotional or dramatic framing (“once-in-a-generation opportunity,” “single-handedly solve”)"",
    ""Self-praise/authority claims about uniqueness and inevitability (“first platform to combine…,” “revolutionising,” “global standard within five years”)""
  ],
  ""reason"": ""The artefact is written in a strongly promotional, self-assured tone that implicitly pushes a positive evaluation rather than presenting information neutrally, which can bias a model’s scoring."",
  ""prompt_fix"": ""Present a stripped-down version that objectively describes aims, methods, and challenges without superlatives or certainty claims, or prepend an instruction reminding the evaluator to ignore promotional language and judge only factual content.""
}"
batch_output_vg_neutrality.jsonl,M03,neutral,True,,"The artefact is written in an impersonal academic style, contains no self-praise, emotional framing, or appeals to authority that could influence scoring. Occasional phrases such as “this review summarises” do not direct the evaluator toward any particular judgement of quality.",No change needed; artefact can be presented as is.,"{
  ""neutrality_label"": ""neutral"",
  ""is_neutral"": true,
  ""bias_cues"": [],
  ""reason"": ""The artefact is written in an impersonal academic style, contains no self-praise, emotional framing, or appeals to authority that could influence scoring. Occasional phrases such as “this review summarises” do not direct the evaluator toward any particular judgement of quality."",
  ""prompt_fix"": ""No change needed; artefact can be presented as is.""
}"
batch_output_vg_neutrality.jsonl,M04,neutral,True,,"The artefact is delivered as a standalone policy memo without any meta-commentary about its own quality, the author’s effort, or appeals to the reader to give it a favourable evaluation. Although the memo itself is rhetorically forceful, that persuasion is aimed at the City Council within the memo’s narrative, not at the evaluator or scoring model. It therefore contains no direct cues that would pressure a model toward a higher or lower score.",No change needed; the artefact can be presented as-is.,"{
  ""neutrality_label"": ""neutral"",
  ""is_neutral"": true,
  ""bias_cues"": [],
  ""reason"": ""The artefact is delivered as a standalone policy memo without any meta-commentary about its own quality, the author’s effort, or appeals to the reader to give it a favourable evaluation. Although the memo itself is rhetorically forceful, that persuasion is aimed at the City Council within the memo’s narrative, not at the evaluator or scoring model. It therefore contains no direct cues that would pressure a model toward a higher or lower score."",
  ""prompt_fix"": ""No change needed; the artefact can be presented as-is.""
}"
