idea_id,idea,template,repeat_id,prompt,raw_response,score,error,model,temperature
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",80,80,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,2,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",80,80,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,3,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",83,83,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,4,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",85,85,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,5,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",80,80,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,6,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",75,75,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,7,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",75,75,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,8,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",82,82,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,9,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",85,85,,llama3-8b-instruct-q5,0.7
1,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall.",neutral,10,"Does background music affect concentration during reading? Compare silent reading, classical music, and lyrical music to see which condition leads to better comprehension and recall. On a scale from 0 to 100, how interesting is this research question? 0 means not interesting at all, and 100 means extremely interesting.",80,80,,llama3-8b-instruct-q5,0.7
